Date,Open,High,Low,Close,Adj Close,Volume,compound,Count
2019-10-28,,,,,,,0.20595652173913043,23
2019-10-29,,,,,,,0.2717432432432433,74
2019-10-30,,,,,,,0.18512089552238806,67
2019-10-31,,,,,,,0.14814179104477612,68
2019-11-01,,,,,,,0.19768484848484846,66
2019-11-04,,,,,,,0.1590571428571428,77
2019-11-05,,,,,,,0.2446910112359552,90
2019-11-06,,,,,,,0.1702244186046511,86
2019-11-07,,,,,,,0.24699999999999997,93
2019-11-08,,,,,,,0.2400795180722892,84
2019-11-11,,,,,,,0.18401648351648364,91
2019-11-12,,,,,,,0.23178793103448286,116
2019-11-13,,,,,,,0.18255337423312876,165
2019-11-14,,,,,,,0.3077509316770187,161
2019-11-15,,,,,,,0.16095999999999996,71
2019-11-18,,,,,,,0.2903948717948717,79
2019-11-19,,,,,,,0.24320927835051553,98
2019-11-20,,,,,,,0.1843889763779527,127
2019-11-21,,,,,,,0.2377650000000001,101
2019-11-22,,,,,,,0.1914144444444444,90
2019-11-25,,,,,,,0.27823571428571425,70
2019-11-26,,,,,,,0.13916448598130843,107
2019-11-27,,,,,,,0.4290207792207792,77
2019-11-28,,,,,,,0.2900725274725274,91
2019-11-29,,,,,,,0.2776988372093024,86
2019-12-02,,,,,,,0.31459230769230767,105
2019-12-03,,,,,,,0.3361414414414415,111
2019-12-04,,,,,,,0.35000693069306926,101
2019-12-05,,,,,,,0.16218271604938267,82
2019-12-06,,,,,,,0.258878350515464,97
2019-12-09,,,,,,,0.15399027777777777,72
2019-12-10,,,,,,,0.23145454545454547,89
2019-12-11,,,,,,,0.2353291139240506,79
2019-12-12,,,,,,,0.14763246753246753,77
2019-12-13,,,,,,,0.2576491803278689,61
2019-12-16,,,,,,,0.16952897196261676,107
2019-12-17,,,,,,,0.22725300000000004,100
2019-12-18,,,,,,,0.26281200000000005,100
2019-12-19,,,,,,,0.2026114754098361,61
2019-12-20,,,,,,,0.29496136363636366,88
2019-12-23,,,,,,,0.18538651685393265,89
2019-12-24,,,,,,,0.2648277777777778,54
2019-12-25,,,,,,,0.23358518518518523,28
2019-12-26,,,,,,,0.33069803921568613,51
2019-12-27,,,,,,,-0.0018722222222222443,18
2019-12-30,,,,,,,0.12561818181818182,11
2019-12-31,,,,,,,0.2635932432432432,75
2020-01-01,,,,,,,0.37579230769230726,143
2020-01-02,,,,,,,0.31008936170212764,94
2020-01-03,,,,,,,0.21868028169014095,71
2020-01-06,,,,,,,0.19941862745098038,102
2020-01-07,,,,,,,0.15279780219780217,91
2020-01-08,,,,,,,0.23188793103448282,58
2020-01-09,,,,,,,0.15168400000000004,75
2020-01-10,,,,,,,0.016384210526315786,38
2020-01-13,,,,,,,0.41506754385964884,114
2020-01-14,,,,,,,0.47872462686567113,134
2020-01-15,,,,,,,0.14516336633663368,102
2020-01-16,,,,,,,0.39859446153845945,326
2020-01-17,,,,,,,0.3275329004328994,231
2020-01-20,,,,,,,0.1942656250000001,96
2020-01-21,,,,,,,0.3076929824561404,114
2020-01-22,,,,,,,0.216825,68
2020-01-23,,,,,,,0.11052803738317754,107
2020-01-24,483.0,483.0,483.0,483.0,483.0,0.0,0.12527789473684214,95
2020-01-27,,,,,,,0.2218166666666667,102
2020-01-28,,,,,,,0.11390000000000003,80
2020-01-29,,,,,,,0.04001338028169016,142
2020-01-30,,,,,,,0.23451264367816096,87
2020-01-31,,,,,,,0.3293367924528304,106
2020-02-03,,,,,,,0.24481549295774646,72
2020-02-04,,,,,,,0.1905888888888889,83
2020-02-05,,,,,,,0.25232428571428583,72
2020-02-06,,,,,,,0.13683928571428572,56
2020-02-07,,,,,,,0.12368857142857141,70
2020-02-10,,,,,,,0.21861750000000008,80
2020-02-11,,,,,,,0.2498642857142858,112
