Date,Open,High,Low,Close,Adj Close,Volume
2019-10-28,144.39999389648438,145.6699981689453,143.50999450683594,144.19000244140625,140.09732055664062,35280100
2019-10-29,144.0800018310547,144.5,142.64999389648438,142.8300018310547,138.77589416503906,20589500
2019-10-30,143.52000427246094,145.0,142.7899932861328,144.61000061035156,140.50538635253906,18496600
2019-10-31,144.89999389648438,144.92999267578125,142.99000549316406,143.3699951171875,139.30059814453125,24605100
2019-11-01,144.25999450683594,144.4199981689453,142.97000122070312,143.72000122070312,139.64068603515625,33128400
2019-11-04,144.8300018310547,145.0,144.16000366210938,144.5500030517578,140.44711303710938,16912000
2019-11-05,144.97000122070312,145.02000427246094,143.91000366210938,144.4600067138672,140.35968017578125,18250200
2019-11-06,144.3699951171875,144.52000427246094,143.1999969482422,144.05999755859375,139.97100830078125,16575800
2019-11-07,143.83999633789062,144.8800048828125,143.77000427246094,144.25999450683594,140.16534423828125,17786700
2019-11-08,143.97999572753906,145.99000549316406,143.75999450683594,145.9600067138672,141.8170623779297,16732700
2019-11-11,145.33999633789062,146.4199981689453,144.72999572753906,146.11000061035156,141.9628448486328,14362600
2019-11-12,146.27999877929688,147.57000732421875,146.05999755859375,147.07000732421875,142.89559936523438,18641600
2019-11-13,146.74000549316406,147.4600067138672,146.27999877929688,147.30999755859375,143.12872314453125,16919200
2019-11-14,147.02000427246094,148.41000366210938,147.0,148.05999755859375,143.8574676513672,19729800
2019-11-15,148.92999267578125,149.99000549316406,148.27000427246094,149.97000122070312,145.7132568359375,23485700
2019-11-18,150.07000732421875,150.5500030517578,148.97999572753906,150.33999633789062,146.07275390625,21534000
2019-11-19,150.8800048828125,151.3300018310547,150.1999969482422,150.38999938964844,146.12135314941406,23935700
2019-11-20,150.30999755859375,150.83999633789062,148.4600067138672,149.6199951171875,145.86785888671875,25696800
2019-11-21,149.39999389648438,149.8000030517578,148.5,149.47999572753906,145.73135375976562,18576100
2019-11-22,150.07000732421875,150.3000030517578,148.82000732421875,149.58999633789062,145.838623046875,15901800
2019-11-25,150.0,151.35000610351562,149.9199981689453,151.22999572753906,147.4375,22420900
2019-11-26,151.36000061035156,152.4199981689453,151.32000732421875,152.02999877929688,148.21742248535156,24620100
2019-11-27,152.3300018310547,152.5,151.52000427246094,152.32000732421875,148.50015258789062,15184400
2019-11-29,152.10000610351562,152.3000030517578,151.27999877929688,151.3800048828125,147.58372497558594,11977300
2019-12-02,151.80999755859375,151.8300018310547,148.32000732421875,149.5500030517578,145.7996063232422,27418400
2019-12-03,147.49000549316406,149.42999267578125,146.64999389648438,149.30999755859375,145.56564331054688,24066000
2019-12-04,150.13999938964844,150.17999267578125,149.1999969482422,149.85000610351562,146.09210205078125,17574700
2019-12-05,150.0500030517578,150.32000732421875,149.47999572753906,149.92999267578125,146.1700897216797,17869100
2019-12-06,150.99000549316406,151.8699951171875,150.27000427246094,151.75,147.9444580078125,16403500
