Date,Real,Predicted
2021-12-03,161.83999633789062,168.88724
2021-12-06,165.32000732421875,167.27785
2021-12-07,171.17999267578125,167.42377
2021-12-08,175.0800018310547,168.23506
2021-12-09,174.55999755859375,172.02606
2021-12-10,179.4499969482422,173.79463
2021-12-13,175.74000549316406,176.11598
2021-12-14,174.3300018310547,176.44075
2021-12-15,179.3000030517578,177.10501
2021-12-16,172.25999450683594,175.98164
2021-12-17,171.13999938964844,175.76
2021-12-20,169.75,174.85895
2021-12-21,172.99000549316406,173.33717
2021-12-22,175.63999938964844,173.7705
2021-12-23,176.27999877929688,175.77992
2021-12-27,180.3300018310547,177.15013
2021-12-28,179.2899932861328,178.40411
2021-12-29,179.3800048828125,178.8317
2021-12-30,178.1999969482422,179.1916
2021-12-31,177.57000732421875,178.88269
2022-01-03,182.00999450683602,178.13187
2022-01-04,179.6999969482422,178.02573
2022-01-05,174.9199981689453,178.89803
2022-01-06,172.0,178.43394
2022-01-07,172.1699981689453,176.4503
2022-01-10,172.19000244140625,173.8914
2022-01-11,175.0800018310547,172.85606
2022-01-12,175.52999877929688,173.95464
2022-01-13,172.19000244140625,174.02118
2022-01-14,173.07000732421875,173.49628
2022-01-18,169.8000030517578,169.64607
2022-01-19,166.22999572753906,166.8659
2022-01-20,164.50999450683594,166.3255
2022-01-21,162.41000366210938,165.31618
2022-01-24,161.6199951171875,163.44867
2022-01-25,159.77999877929688,159.7983
2022-01-26,159.69000244140625,160.5316
2022-01-27,159.22000122070312,160.74124
2022-01-28,170.3300018310547,162.44261
2022-01-31,174.77999877929688,165.69087
2022-02-01,174.61000061035156,171.21368
2022-02-02,175.83999633789062,173.46915
2022-02-03,172.89999389648438,174.21942
2022-02-04,172.38999938964844,172.57368
2022-02-07,171.66000366210938,174.25491
2022-02-08,174.8300018310547,173.88393
2022-02-09,176.27999877929688,174.04768
2022-02-10,172.1199951171875,175.3316
2022-02-11,168.63999938964844,175.88458
2022-02-14,168.8800048828125,174.5059
2022-02-15,172.7899932861328,173.37514
2022-02-16,172.5500030517578,172.49884
2022-02-17,168.8800048828125,173.99028
2022-02-18,167.3000030517578,174.73851
2022-02-22,164.32000732421875,173.0978
2022-02-23,160.07000732421875,170.77728
2022-02-24,162.74000549316406,167.5266
2022-02-25,164.85000610351562,166.2361
2022-02-28,165.1199951171875,164.7882
2022-03-01,163.1999969482422,166.21278
2022-03-02,166.55999755859375,165.50468
2022-03-03,166.22999572753906,166.5798
2022-03-04,163.1699981689453,165.30162
2022-03-07,159.3000030517578,166.18547
2022-03-08,157.44000244140625,165.98636
2022-03-09,162.9499969482422,162.89433
2022-03-10,158.52000427246094,160.25851
2022-03-11,154.72999572753906,159.19829
2022-03-14,150.6199951171875,160.82523
2022-03-15,155.08999633789062,154.20923
2022-03-16,159.58999633789062,153.37512
2022-03-17,160.6199951171875,156.02666
2022-03-18,163.97999572753906,163.2866
2022-03-21,165.3800048828125,165.76758
2022-03-22,168.82000732421875,168.16103
2022-03-23,170.2100067138672,171.40793
2022-03-24,174.07000732421875,173.12314
2022-03-25,174.72000122070312,174.26703
2022-03-28,175.60000610351562,174.08005
2022-03-29,178.9600067138672,175.68053
2022-03-30,177.77000427246094,177.68889
2022-03-31,174.61000061035156,178.69604
2022-04-01,174.30999755859375,179.58038
2022-04-04,178.44000244140625,178.11482
2022-04-05,175.05999755859375,176.51512
2022-04-06,171.8300018310547,175.75362
2022-04-07,172.13999938964844,175.96425
2022-04-08,170.08999633789062,174.95967
2022-04-11,165.75,174.32999
2022-04-12,167.66000366210938,173.86536
2022-04-13,170.39999389648438,171.75746
2022-04-14,165.2899932861328,171.32315
2022-04-18,165.07000732421875,171.22122
2022-04-19,167.39999389648438,170.57959
2022-04-20,167.22999572753906,169.80208
2022-04-21,166.4199981689453,171.10344
2022-04-22,161.7899932861328,169.7797
2022-04-25,162.8800048828125,169.05193
2022-04-26,156.8000030517578,167.75163
2022-04-27,156.57000732421875,166.19366
2022-04-28,163.63999938964844,166.25885
2022-04-29,157.64999389648438,162.37372
2022-05-02,157.9600067138672,163.73111
2022-05-03,159.47999572753906,161.62587
2022-05-04,166.02000427246094,162.00453
